Award Number,Month,Year,City,Zip,Charging Station Brand,County,Cost of Charging Station,Rebate Amount
RCS0618102,6,2018,Hockessin,19707,Tesla,New Castle,500,250
RCS0618105,6,2018,Bear,19701,Tesla,New Castle,500,250
RCS0618107,6,2018,Newark,19711,Tesla,New Castle,500,250
RCS0618108,6,2018,Newark,19711,Tesla,New Castle,500,250
RCS0718117,7,2018,Newark,19702,Tesla,New Castle,500,250
RCS0818120,8,2018,Felton,19943,Tesla,Kent,500,250
RCS0818121,8,2018,Milford,19963,Tesla,Sussex,585,292.5
RCS0818122,8,2018,New Castle,19720,Tesla,New Castle,500,250
RCS0818123,8,2018,Dover,19901,Tesla,Kent,500,250
RCS0818124,8,2018,Wilmington,19808,Tesla,New Castle,500,250
RCS0818125,8,2018,Frederica,19946,Tesla,Kent,500,250
RCS0918130,9,2018,Magnolia,19962,Tesla,Kent,610,305
RCS0918132,9,2018,Wilmington,19807,Tesla,New Castle,500,250
RCS0918133,9,2018,Newark,19711,Tesla,New Castle,500,250
RCS1018136,10,2018,Wilmington,19805,Tesla,New Castle,500,250
RCS1018137,10,2018,Bear,19701,Tesla,New Castle,500,250
RCS1018140,10,2018,Middletown,19709,Tesla,New Castle,500,250
RCS1018141,10,2018,Newark,19702,Tesla,New Castle,500,250
RCS1018142,10,2018,Middletown,19709,Tesla,New Castle,500,250
RCS1018143,10,2018,Newark,19713,Tesla,New Castle,500,250
RCS1018144,10,2018,Hockessin,19707,Tesla,New Castle,500,250
RCS1018147,10,2018,Newark,19702,Tesla,New Castle,500,250
RCS1018149,10,2018,Middletown,19709,Tesla,New Castle,500,250
RCS1018150,10,2018,Wilmington,19808,Tesla,New Castle,500,250
RCS1018151,10,2018,Middletown,19709,Tesla,New Castle,500,250
RCS1118152,11,2018,Wilmington,19807,Tesla,New Castle,500,250
RCS1118153,11,2018,Newark,19711,Tesla,New Castle,500,250
RCS1118154,11,2018,Hockessin,19707,Tesla,New Castle,500,250
RCS1118158,11,2018,Bear,19701,Tesla,New Castle,500,250
RCS1218159,12,2018,Hockessin,19707,Tesla,New Castle,500,250
RCS1218160,12,2018,Lewes,19958,Tesla,Sussex,500,250
RCS1218161,12,2018,Lewes,19958,Tesla,Sussex,500,250
RCS1218170,12,2018,Hockessin,19707,Tesla,New Castle,500,250
RCS1218172,12,2018,Wilmington,19808,Tesla,New Castle,500,250
RCS1218173,12,2018,Hockessin,19707,Tesla,New Castle,500,250
RCS1218174,12,2018,Bear,19701,Tesla,New Castle,500,250
RCS0119175,1,2019,Wilmington,19810,Tesla,New Castle,500,250
RCS0119179,1,2019,Wilmington,19805,Tesla,New Castle,500,250
RCS0119180,1,2019,Hockessin,19707,Tesla,New Castle,500,250
RCS0119182,1,2019,Wilmington,19801,Tesla,New Castle,500,250
RCS0219185,2,2019,Bethany Beach,19930,Tesla,Sussex,500,250
RCS0219187,2,2019,Wilmington,19803,Tesla,New Castle,500,250
RCS0219188,2,2019,Hockessin,19707,Tesla,New Castle,500,250
RCS0219189,2,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0219190,2,2019,Newark,19711,Tesla,New Castle,500,250
RCS0219191,2,2019,Bear,19701,Tesla,New Castle,500,250
RCS0319192,3,2019,Smyrna,19977,Tesla,Kent,500,250
RCS0319194,3,2019,Wilmington,19806,Tesla,New Castle,500,250
RCS0319196,3,2019,Bear,19701,Tesla,New Castle,500,250
RCS0319198,3,2019,Newark,19711,Tesla,New Castle,500,250
RCS0319199,3,2019,Ocean View,19970,Tesla,Sussex,500,250
RCS0319206,3,2019,Dover,19901,Tesla,Kent,500,250
RCS0419210,4,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0419211,4,2019,New Castle,19720,Tesla,New Castle,500,250
RCS0419214,4,2019,Bear,19701,Tesla,New Castle,500,250
RCS0419215,4,2019,Newark,19702,Tesla,New Castle,500,250
RCS0419216,4,2019,Rehoboth Beach,19971,Tesla,Sussex,500,250
RCS0419217,4,2019,Camden Wyoming,19934,Tesla,Kent,500,250
RCS0419218,4,2019,Bear,19701,Tesla,New Castle,500,250
RCS0419219,4,2019,Hockessin,19707,Tesla,New Castle,500,250
RCS0419220,4,2019,Wilmington,19807,Tesla,New Castle,500,250
RCS0519221,5,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0519226,5,2019,Rehoboth Beach,19971,Tesla,Sussex,500,250
RCS0519227,5,2019,Wilmington,19803,Tesla,New Castle,500,250
RCS0519228,5,2019,Newark,19702,Tesla,New Castle,500,250
RCS0519229,5,2019,Seaford,19973,Tesla,Sussex,500,250
RCS0519230,5,2019,Magnolia,19962,Tesla,Kent,500,250
RCS0519231,5,2019,Milford,19963,Tesla,Sussex,519,259.5
RCS0519233,5,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0519235,5,2019,Newark,19702,Tesla,New Castle,500,250
RCS0519237,5,2019,Wilmington,19803,Tesla,New Castle,500,250
RCS0519238,5,2019,Wilmington,19808,Tesla,New Castle,500,250
RCS0619243,6,2019,Townsend,19734,Tesla,New Castle,500,250
RCS0619245,6,2019,Bear,19701,Tesla,New Castle,500,250
RCS0619246,6,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0619247,6,2019,Newark,19702,Tesla,New Castle,500,250
RCS0619248,6,2019,Newark,19711,Tesla,New Castle,500,250
RCS0619249,6,2019,Newark,19702,Tesla,New Castle,500,250
RCS0619250,6,2019,Smyrna,19977,Tesla,Kent,500,250
RCS0619251,6,2019,Townsend,19734,Tesla,New Castle,500,250
RCS0619252,6,2019,Dover,19901,Tesla,Kent,500,250
RCS0719253,7,2019,Wilmington,19808,Tesla,New Castle,500,250
RCS0719254,7,2019,Wilmington,19807,Tesla,New Castle,500,250
RCS0719256,7,2019,Lewes,19958,Tesla,Sussex,500,250
RCS0719257,7,2019,Wilmington,19803,Tesla,New Castle,500,250
RCS0719258,7,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0719259,7,2019,Newark,19711,Tesla,New Castle,500,250
RCS0719260,7,2019,Newark,19711,Tesla,New Castle,500,250
RCS0719261,7,2019,Townsend,19734,Tesla,New Castle,500,250
RCS0719262,7,2019,Townsend,19734,Tesla,New Castle,500,250
RCS0719264,7,2019,Rehoboth Beach,19971,Tesla,Sussex,500,250
RCS0719265,7,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0719267,7,2019,Wilmington,19802,Tesla,New Castle,500,250
RCS0819271,8,2019,Newark,19711,Tesla,New Castle,500,250
RCS0819273,8,2019,Millsboro,19966,Tesla,Sussex,500,250
RCS0819274,8,2019,Seaford,19973,Tesla,Sussex,500,250
RCS0819275,8,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0819279,8,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0819280,8,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0819283,8,2019,Magnolia,19962,Tesla,Kent,500,250
RCS0819284,8,2019,Wilmington,19809,Tesla,New Castle,500,250
RCS0819285,8,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0819288,8,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0819291,8,2019,Seaford,19973,Tesla,Sussex,500,250
RCS0819292,8,2019,Newark,19702,Tesla,New Castle,500,250
RCS0819293,8,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0819294,8,2019,Wilmington,19810,Tesla,New Castle,500,250
RCS0819295,8,2019,Newark,19702,Tesla,New Castle,500,250
RCS0819296,8,2019,Newark,19716,Tesla,New Castle,500,250
RCS0819297,8,2019,Wilmington,19808,Tesla,New Castle,500,250
RCS0819298,8,2019,Dewey Beach,19971,Tesla,Sussex,500,250
RCS0919299,9,2019,Wilmington,19806,Tesla,New Castle,500,250
RCS0919301,9,2019,Wilmington,19803,Tesla,New Castle,500,250
RCS0919302,9,2019,Middletown,19709,Tesla,New Castle,500,250
RCS0919303,9,2019,Wilmington,19807,Tesla,New Castle,500,250
RCS0919304,9,2019,Newark,19702,Tesla,New Castle,500,250
RCS0919307,9,2019,Magnolia,19962,Tesla,Kent,500,250
RCS0919308,9,2019,Milton,19968,Tesla,Sussex,500,250
RCS0919309,9,2019,Wilmington,19805,Tesla,New Castle,500,250
RCS0919310,9,2019,Smyrna,19977,Tesla,Kent,500,250
RCS0919311,9,2019,Wilmington,19807,Tesla,New Castle,500,250
RCS0919313,9,2019,Milford,19963,Tesla,Sussex,500,250
RCS1019315,10,2019,Middletown,19709,Tesla,New Castle,500,250
RCS1019316,10,2019,Wilmington,19807,Tesla,New Castle,500,250
RCS1019317,10,2019,Newark,19713,Tesla,New Castle,500,250
RCS1019318,10,2019,Newark,19713,Tesla,New Castle,500,250
RCS1019319,10,2019,Wilmington,19808,Tesla,New Castle,500,250
RCS1019320,10,2019,Miller,19701,Tesla,New Castle,500,250
RCS1019321,10,2019,Magnolia,19962,Tesla,Kent,500,250
RCS1019324,10,2019,Milford,19963,Tesla,Sussex,500,250
RCS1019326,10,2019,Bear,19701,Tesla,New Castle,500,250
RCS1019327,10,2019,Smyrna,19977,Tesla,Kent,500,250
RCS1019329,10,2019,Wilmington,19801,Tesla,New Castle,500,250
RCS1019330,10,2019,Newark,19711,Tesla,New Castle,500,250
RCS1019331,10,2019,Frederica,19946,Tesla,Kent,500,250
RCS1019332,10,2019,Hockessin,19707,Tesla,New Castle,500,250
RCS1019334,10,2019,Wilmington,19808,Tesla,New Castle,500,250
RCS1019335,10,2019,Bear,19701,Tesla,New Castle,500,250
RCS1119336,11,2019,Middletown,19709,Tesla,New Castle,533.13,266.57
RCS1119338,11,2019,Newark,19702,Tesla,New Castle,500,250
RCS1119341,11,2019,Dover,19901,Tesla,Kent,500,250
RCS1119342,11,2019,Dover,19901,Tesla,Kent,500,250
RCS1119345,11,2019,Wilmington,19808,Tesla,New Castle,500,250
RCS1119348,11,2019,Hockessin,19707,Tesla,New Castle,500,250
RCS1119349,11,2019,Rehoboth Beach,19971,Tesla,Sussex,500,250
RCS1119351,11,2019,Rehoboth Beach,19971,Tesla,Sussex,500,250
RCS1119352,11,2019,Camden Wyoming,19934,Tesla,Kent,500,250
RCS1119354,11,2019,Camden Wyoming,19934,Tesla,Kent,500,250
RCS1219357,12,2019,Smyrna,19977,Tesla,Kent,500,250
RCS1219358,12,2019,Newark,19711,Tesla,New Castle,500,250
RCS1219359,12,2019,Middletown,19709,Tesla,New Castle,500,250
RCS1219361,12,2019,Newark,19702,Tesla,New Castle,500,250
RCS1219363,12,2019,Bear,19701,Tesla,New Castle,520,260
RCS1219366,12,2019,Rehoboth Beach,19971,Tesla,Sussex,500,250
RCS1219368,12,2019,Wilmington,19807,Tesla,New Castle,500,250
RCS1219369,12,2019,Wilmington,19803,Tesla,New Castle,500,250
RCS1219371,12,2019,Dover,19901,Tesla,Kent,500,250
RCS1219372,12,2019,Middletown,19709,Tesla,New Castle,500,250
RCS1219374,12,2019,Wilmington,19803,Tesla,New Castle,500,250
RCS1219380,12,2019,Wilmington,19803,Tesla,New Castle,500,250
RCS1219381,12,2019,Newark,19702,Tesla,New Castle,500,250
RCS1219383,12,2019,Middletown,19709,Tesla,New Castle,500,250
RCS1219385,12,2019,Claymont,19703,Tesla,New Castle,500,250
RCS1219387,12,2019,Hockessin,19707,Tesla,New Castle,500,250
RCS1219399,12,2019,Wilmington,19802,Tesla,New Castle,500,250
RCS1219400,12,2019,Wilmington,19803,Tesla,New Castle,37.32,18.66
RCS1219401,12,2019,Bear,19701,Tesla,New Castle,500,250
RCS1219402,12,2019,Hockessin,19707,Tesla,New Castle,500,250
RCS1219403,12,2019,Newark,19711,Tesla,New Castle,500,250
RCS1219404,12,2019,Lewes,19958,Tesla,Sussex,500,250
RCS1219405,12,2019,Newark,19702,Tesla,New Castle,500,250
RCS1219406,12,2019,Clayton,19938,Tesla,Kent,500,250
RCS1219407,12,2019,Wilmington,19802,Tesla,New Castle,500,250
RCS1219408,12,2019,Newark,19702,Tesla,New Castle,500,250
RCS1219409,12,2019,Wilmington,19809,Tesla,New Castle,500,250
RCS1219410,12,2019,Bear,19701,Tesla,New Castle,500,250
RCS1219411,12,2019,New Castle,19720,Tesla,New Castle,500,250
RCS1219412,12,2019,Newark,19702,Tesla,New Castle,500,250
RCS1219413,12,2019,Townsend,19734,Tesla,New Castle,500,250
RCS1219414,12,2019,Newark,19702,Tesla,New Castle,500,250
RCS1219415,12,2019,Wilmington,19801,Tesla,New Castle,500,250
RCS1219416,12,2019,Milton,19968,Tesla,New Castle,500,250
RCS1219419,12,2019,Bear,19701,Tesla,New Castle,500,250
RCS1219420,12,2019,Newark,19711,Tesla,New Castle,500,250
RCS1219421,12,2019,Newark,19702,Tesla,New Castle,500,250
RCS1219424,12,2019,Millsboro,19966,Tesla,Sussex,500,250
RCS1219425,12,2019,Rehoboth Beach,19971,Tesla,Sussex,500,250
RCS1219426,12,2019,Wilmington,19809,Tesla,New Castle,500,250
RCS1219427,12,2019,Georgetown,19947,Tesla,Sussex,500,250
RCS1219429,12,2019,Newark,19711,Tesla,New Castle,1049,500
RCS1219430,12,2019,Wilmington,19810,Tesla,New Castle,500,250
RCS1219431,12,2019,Rehoboth Beach,19971,Tesla,Sussex,1000,500
RCS1219432,12,2019,Ocean View,19970,Tesla,Sussex,500,250
RCS1219432,12,2019,Middletown,19709,Tesla,New Castle,500,250
EVSE101518,10,2015,Hartly,19953,Tesla,Kent,1220,500
EVSE101522,10,2015,Dover,19904,Tesla,Kent,250,250
EVSE121528,12,2015,Dover,19901,Tesla,Kent,4050,500
EVSE021637,2,2016,Middletown,19709,Tesla,New Castle,750,500
EVSE041642,4,2016,Bear,19701,Tesla,New Castle,550,500
EVSE051646,5,2016,Seaford,19973,Tesla,Sussex,550,500
EVSE061648,6,2016,Greenville,19807,Tesla,New Castle,550,500
EVSE111681,11,2016,Hockessin,19707,Tesla,New Castle,500,500
EVSE121685,12,2016,Wilmington,19810,Tesla,New Castle,550,500
RCS021712,2,2017,Wilmington,19810,Tesla,New Castle,550,275
RCS031715,3,2017,Wilmington,19809,Tesla,New Castle,420,210
RCS041721,4,2017,Dagsboro,19939,Tesla,Sussex,550,275
RCS051727,5,2017,Hockessin,19707,Tesla,New Castle,500,250
CCS061701,6,2017,Hockessin,19707,Tesla,New Castle,500,375
EVSE061788,6,2017,Wilmington,19806,Tesla,New Castle,750,500
EVSE061789,6,2017,Wilmington,19807,Tesla,New Castle,550,500
CCS081703,8,2017,Lewes,19958,Tesla,Sussex,550,412.5
RCS091745,9,2017,Wilmington,19803,Tesla,New Castle,550,275
RCS101750,10,2017,Hockessin,19707,Tesla,New Castle,500,250
RCS101752,10,2017,Magnolia,19962,Tesla,Kent,500,250
RCS111756,11,2017,Wilmington,19806,Tesla,New Castle,500,250
RCS121764,12,2017,Newark,19711,Tesla,New Castle,919.99,460
RCS011869,1,2018,Middletown,19709,Tesla,New Castle,500,250
RCS011872,1,2018,Hockessin,19707,Tesla,New Castle,500,250
RCS011877,1,2018,Bear,19701,Tesla,New Castle,497.99,249
RCS031884,3,2018,Wilmington,19803,Tesla,New Castle,500,250
RCS031885,3,2018,Wilmington,19806,Tesla,New Castle,500,250
RCS031886,3,2018,Newark,19711,Tesla,New Castle,500,250
RCS041888,4,2018,Hockessin,19707,Tesla,New Castle,500,250
RCS041889,4,2018,Newark,19702,Tesla,New Castle,550,275
RCS041890,4,2018,Wilmington,19805,Tesla,New Castle,500,250
RCS041892,4,2018,Wilmington,19808,Tesla,New Castle,500,250
RCS051897,5,2018,Wilmington,19808,Tesla,New Castle,500,250
RCS051898,5,2018,Middletown,19709,Tesla,New Castle,500,250
RCS051899,5,2018,Bear,19701,Tesla,New Castle,500,250
CCS071810,7,2018,Wilmington,19805,Tesla,New Castle,500,375
